CLIENT_id,surv_time,status,extra_attempts,main_extra_attempt,stuck,mean_time
310,0.016666666666666666,0,0,NA,anagrafica-b,0.00833333333333333
311,0.23333333333333334,0,0,NA,contract-subscription,0.0333333333333333
312,0,0,0,NA,antiriciclaggio,0
313,0,0,0,NA,antiriciclaggio,0
314,0,0,0,NA,antiriciclaggio,0
315,0,0,0,NA,antiriciclaggio,0
316,0,0,0,NA,antiriciclaggio,0
317,0.2,0,2,anagrafica-c,anagrafica-d,0.025
318,0,0,0,NA,antiriciclaggio,0
319,0.18333333333333332,0,1,anagrafica-c,contract-subscription,0.0229166666666667
320,203.16666666666666,0,1,anagrafica-c,anagrafica-c,25.3958333333333
321,0.03333333333333333,0,0,NA,anagrafica-d,0.0111111111111111
321,0.03333333333333333,0,0,NA,antiriciclaggio,0.0111111111111111
322,0,0,0,NA,antiriciclaggio,0
323,0.05,0,0,NA,contract-subscription,0.0125
324,0,1,0,NA,conclude,0
325,0,0,0,NA,antiriciclaggio,0
326,0,0,0,NA,codice-fiscale,0
327,0,0,0,NA,antiriciclaggio,0
328,0.11666666666666667,0,0,NA,contract-subscription,0.0166666666666667
329,1760.6833333333334,0,10,anagrafica-a,anagrafica-a,117.378888888889
329,1760.6833333333334,0,10,anagrafica-a,anagrafica-b,117.378888888889
329,1760.6833333333334,0,10,anagrafica-a,anagrafica-b,117.378888888889
329,1760.6833333333334,0,10,anagrafica-a,anagrafica-c,117.378888888889
329,1760.6833333333334,0,10,anagrafica-a,anagrafica-d,117.378888888889
329,1760.6833333333334,0,10,anagrafica-a,codice-fiscale,117.378888888889
330,0,0,0,NA,antiriciclaggio,0
331,0.45,1,0,NA,conclude,0.05625
331,0.45,1,0,NA,contract-subscription,0.05625
332,0.23333333333333334,0,0,NA,contract-subscription,0.0388888888888889
333,0,0,0,NA,antiriciclaggio,0
334,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
335,0,1,0,NA,conclude,0
336,127.85,1,0,NA,antiriciclaggio,63.925
337,0.2,0,0,NA,contract-subscription,0.0285714285714286
338,0.1,0,0,NA,contract-subscription,0.0166666666666667
339,0,0,0,NA,antiriciclaggio,0
340,0.2833333333333333,0,1,anagrafica-a,contract-subscription,0.0354166666666667
341,5.866666666666666,1,0,NA,conclude,0.733333333333333
342,0.15,0,0,NA,contract-subscription,0.0375
343,0,0,0,NA,antiriciclaggio,0
344,0,0,0,NA,antiriciclaggio,0
345,0.3333333333333333,0,0,NA,contract-subscription,0.0476190476190476
346,1679.6666666666667,0,6,anagrafica-b,contract-subscription,129.205128205128
347,0,0,0,NA,antiriciclaggio,0
348,14.016666666666667,0,1,antiriciclaggio,contract-subscription,2.33611111111111
349,0.03333333333333333,0,2,anagrafica-a,anagrafica-b,0.00666666666666667
350,3.7,1,0,NA,conclude,0.4625
350,3.7,1,0,NA,contract-subscription,0.4625
351,0.5666666666666667,1,0,NA,conclude,0.113333333333333
351,0.5666666666666667,1,0,NA,contract-subscription,0.113333333333333
352,0.5333333333333333,0,0,NA,contract-subscription,0.0761904761904762
353,0,0,0,NA,antiriciclaggio,0
354,0,0,0,NA,antiriciclaggio,0
355,0,0,0,NA,codice-fiscale,0
356,623.1333333333333,0,0,NA,anagrafica-c,311.566666666667
357,0.06666666666666667,0,0,NA,anagrafica-d,0.0222222222222222
357,0.06666666666666667,0,0,NA,antiriciclaggio,0.0222222222222222
358,0.06666666666666667,0,0,NA,contract-subscription,0.0222222222222222
359,0,0,0,NA,anagrafica-c,0
360,0,1,0,NA,conclude,0
361,0.15,0,0,NA,contract-subscription,0.0214285714285714
362,0.1,0,0,NA,contract-subscription,0.025
363,0.3333333333333333,0,1,anagrafica-d,contract-subscription,0.0416666666666667
364,0,0,0,NA,antiriciclaggio,0
365,0,0,0,NA,anagrafica-a,0
365,0,0,0,NA,codice-fiscale,0
366,0,0,0,NA,antiriciclaggio,0
367,0.16666666666666666,0,0,NA,contract-subscription,0.0277777777777778
368,2874.9666666666667,0,1,antiriciclaggio,anagrafica-c,958.322222222222
369,18.433333333333334,0,0,NA,contract-subscription,2.63333333333333
370,0,0,0,NA,codice-fiscale,0
371,0,0,0,NA,antiriciclaggio,0
372,0.25,0,0,NA,contract-subscription,0.0357142857142857
373,0,0,0,NA,antiriciclaggio,0
374,0,0,0,NA,antiriciclaggio,0
375,0,0,0,NA,antiriciclaggio,0
376,0.2,0,0,NA,contract-subscription,0.0285714285714286
377,6.8,1,0,NA,conclude,0.85
377,6.8,1,0,NA,contract-subscription,0.85
378,0.21666666666666667,0,1,anagrafica-c,anagrafica-c,0.0722222222222222
378,0.21666666666666667,0,1,anagrafica-c,anagrafica-c,0.0722222222222222
379,0.11666666666666667,1,0,NA,conclude,0.0194444444444444
379,0.11666666666666667,1,0,NA,contract-subscription,0.0194444444444444
380,0,0,0,NA,antiriciclaggio,0
381,0.05,0,0,NA,anagrafica-b,0.0166666666666667
382,0,1,0,NA,conclude,0
382,0,1,0,NA,contract-subscription,0
383,0,0,0,NA,antiriciclaggio,0
384,0.9666666666666667,0,0,NA,contract-subscription,0.241666666666667
385,0.15,0,0,NA,antiriciclaggio,0.025
386,0.6666666666666666,1,0,NA,conclude,0.0833333333333333
386,0.6666666666666666,1,0,NA,contract-subscription,0.0833333333333333
387,0,0,0,NA,antiriciclaggio,0
388,0,0,0,NA,antiriciclaggio,0
389,1.5666666666666667,0,0,NA,contract-subscription,0.223809523809524
390,215.75,0,0,NA,antiriciclaggio,43.15
391,2036.1666666666667,1,0,NA,antiriciclaggio,254.520833333333
392,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
393,0.3333333333333333,0,0,NA,contract-subscription,0.0476190476190476
394,7.9,0,1,codice-fiscale,contract-subscription,0.9875
395,0.16666666666666666,0,1,anagrafica-c,antiriciclaggio,0.0238095238095238
396,210.61666666666667,0,1,anagrafica-c,anagrafica-c,26.3270833333333
397,1.5333333333333334,0,0,NA,contract-subscription,0.219047619047619
398,0,1,0,NA,conclude,0
399,3822.483333333333,0,1,anagrafica-c,anagrafica-c,1274.16111111111
400,0.16666666666666666,0,0,NA,contract-subscription,0.0238095238095238
401,0.016666666666666666,1,0,NA,conclude,0.00833333333333333
402,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
403,0,0,0,NA,anagrafica-a,0
403,0,0,0,NA,codice-fiscale,0
404,0,0,0,NA,antiriciclaggio,0
405,0,0,0,NA,anagrafica-d,0
406,0,0,0,NA,anagrafica-c,0
407,0,0,0,NA,antiriciclaggio,0
408,0.1,0,0,NA,contract-subscription,0.0142857142857143
409,0.2,0,0,NA,contract-subscription,0.0285714285714286
410,0,0,0,NA,anagrafica-b,0
411,0,0,0,NA,antiriciclaggio,0
412,0,0,0,NA,antiriciclaggio,0
413,11.4,0,0,NA,anagrafica-c,5.7
414,3980.9,1,0,NA,antiriciclaggio,1990.45
415,0.2833333333333333,0,0,NA,contract-subscription,0.0404761904761905
416,0,0,0,NA,anagrafica-a,0
416,0,0,0,NA,anagrafica-b,0
416,0,0,0,NA,codice-fiscale,0
417,23.5,0,13,anagrafica-b,contract-subscription,1.23684210526316
418,58.833333333333336,0,0,NA,contract-subscription,8.40476190476191
419,0.18333333333333332,0,1,codice-fiscale,contract-subscription,0.0229166666666667
420,0.31666666666666665,0,0,NA,antiriciclaggio,0.0527777777777778
421,0.13333333333333333,0,0,NA,contract-subscription,0.019047619047619
422,0,0,0,NA,contract-subscription,0
423,101.13333333333334,0,1,antiriciclaggio,contract-subscription,20.2266666666667
424,0,0,0,NA,anagrafica-c,0
425,0,0,0,NA,antiriciclaggio,0
426,1156.8333333333333,1,1,codice-fiscale,conclude,128.537037037037
